supplier_id,supplier_name,category,rating,payment_terms,email,phone
SUP-001,PT Fiber Teknologi Nusantara,Fiber Optic & Cable,4.8,Net 30,sales@fibertek.co.id,021-5582910
SUP-002,PT Power Mandiri Prima,Power & Battery,4.7,Net 45,corporate@powermandiri.com,021-8891240
SUP-003,PT Tower Steel Abadi,Tower Structure & Steel,4.5,Net 60,b2b@towersteel.co.id,021-4478129
SUP-004,PT Delta Cooling System,Shelter & HVAC,4.6,Net 30,support@deltacooling.id,022-7201882
SUP-005,PT Surya RF Komunikasi,RF & Transmission,4.9,Net 30,rf-sales@suryarf.com,021-7890123
SUP-006,PT Furukawa Optical Solutions,Fiber Optic & Cable,4.9,Net 30,contact@furukawa.co.id,021-8971200
SUP-007,PT Huawei Tech Investment,RF & Transmission,4.8,Net 45,enterprise.id@huawei.com,021-29398888
SUP-008,PT ZTT Cable Indonesia,Fiber Optic & Cable,4.7,Net 45,sales@zttcable.co.id,021-89831122
SUP-009,PT Varta Microbattery Indonesia,Power & Battery,4.8,Net 30,sales.id@varta.com,021-52960011
SUP-010,PT Citra Mandiri Genset,Shelter & HVAC,4.6,Net 30,info@citramandirigenset.com,021-65301199
